module,doctype,fieldname,label,fieldtype,pg_type,options,reqd,unique,index,read_only,default,fetch_from
Accounts,Bank Account Subtype,account_subtype,Account Subtype,Data,varchar(140),,0,1,0,0,,
Accounts,Bank Account Type,account_type,Account Type,Data,varchar(140),,0,1,0,0,,
Accounts,Bank Clearance,account,Account,Link,varchar(140),Account,1,0,0,0,,bank_account.account
Accounts,Bank Clearance,account_currency,Account Currency,Link,varchar(140),Currency,0,0,0,0,,
Accounts,Bank Clearance,from_date,From Date,Date,date,,1,0,0,0,,
Accounts,Bank Clearance,to_date,To Date,Date,date,,1,0,0,0,,
Accounts,Bank Clearance,bank_account,Bank Account,Link,varchar(140),Bank Account,0,0,0,0,,
Accounts,Bank Clearance,include_reconciled_entries,Include Reconciled Entries,Check,smallint,,0,0,0,0,0,
Accounts,Bank Clearance,include_pos_transactions,Include POS Transactions,Check,smallint,,0,0,0,0,0,
Accounts,Bank Clearance Detail,payment_document,Payment Document,Link,varchar(140),DocType,0,0,0,0,,
Accounts,Bank Clearance Detail,payment_entry,Payment Entry,Dynamic Link,varchar(140),payment_document,0,0,0,0,,
Accounts,Bank Clearance Detail,against_account,Against Account,Data,varchar(140),,0,0,0,1,,
Accounts,Bank Clearance Detail,amount,Amount,Data,varchar(140),,0,0,0,1,,
Accounts,Bank Clearance Detail,posting_date,Posting Date,Date,date,,0,0,0,1,,
Accounts,Bank Clearance Detail,cheque_number,Cheque Number,Data,varchar(140),,0,0,0,1,,
Accounts,Bank Clearance Detail,cheque_date,Cheque Date,Date,date,,0,0,0,1,,
Accounts,Bank Clearance Detail,clearance_date,Clearance Date,Date,date,,0,0,0,0,,
Accounts,Bank Guarantee,bg_type,Bank Guarantee Type,Select,varchar(140),Receiving|Providing,1,0,0,0,,
Accounts,Bank Guarantee,reference_doctype,Reference Document Type,Link,varchar(140),DocType,0,0,0,0,,
Accounts,Bank Guarantee,reference_docname,Reference Document Name,Dynamic Link,varchar(140),reference_doctype,0,0,0,0,,
Accounts,Bank Guarantee,customer,Customer,Link,varchar(140),Customer,0,0,0,0,,
Accounts,Bank Guarantee,supplier,Supplier,Link,varchar(140),Supplier,0,0,0,0,,
Accounts,Bank Guarantee,project,Project,Link,varchar(140),Project,0,0,0,0,,
Accounts,Bank Guarantee,amount,Amount,Currency,"numeric(21,9)",,1,0,0,0,,
Accounts,Bank Guarantee,start_date,Start Date,Date,date,,1,0,0,0,,
Accounts,Bank Guarantee,validity,Validity in Days,Int,integer,,0,0,0,0,,
